                  上证50 (000016)
      时间	    开盘	    最高	    最低	    收盘	         成交量	  MA2.MA1   	  MA2.MA2   	  MA2.MA3   	  MA2.MA4   	  MA2.MA5   	  MA2.MA6   	  MA2.MA7   	  MA2.MA8   	  MA2.MA9   	  MA2.MA10  	 MACD.DIF   	 MACD.DEA   	 MACD.MACD  	  VOL.VOLUME	  VOL.MAVOL1	  VOL.MAVOL2	
 2004/12/21	  847.35	  855.08	  842.65	  845.38	        2644310	           	           	           	           	           	           	           	           	           	           	       0.00	       0.00	       0.00	 2644310.00	           	           	
 2004/12/22	  848.16	  865.17	  842.32	  865.08	        5298284	           	           	           	           	           	           	           	           	           	           	       1.57	       0.31	       2.51	 5298284.00	           	           	
 2004/12/23	  865.32	  865.32	  850.03	  850.70	        2359376	           	           	           	           	           	           	           	           	           	           	       1.64	       0.58	       2.12	 2359376.00	           	           	
 2004/12/24	  848.57	  856.49	  848.08	  851.78	        2457726	           	           	           	           	           	           	           	           	           	           	       1.76	       0.81	       1.88	 2457726.00	           	           	
 2004/12/27	  851.78	  859.09	  846.02	  848.19	        3169635	     852.23	           	           	           	           	           	           	           	           	           	       1.54	       0.96	       1.17	 3169635.00	 3185866.25	           	
 2004/12/28	  849.42	  852.66	  843.63	  848.63	        2893512	     852.88	           	           	           	           	           	           	           	           	           	       1.39	       1.05	       0.70	 2893512.00	 3235706.50	           	
 2004/12/29	  847.88	  854.33	  842.27	  843.78	        3604329	     848.62	           	           	           	           	           	           	           	           	           	       0.88	       1.01	      -0.28	 3604329.00	 2896915.50	           	
 2004/12/30	  842.36	  848.16	  837.21	  843.53	        3582315	     847.18	           	           	           	           	           	           	           	           	           	       0.44	       0.90	      -0.92	 3582315.00	 3141503.50	           	
 2004/12/31	  846.12	  850.85	  841.70	  842.73	        2978720	     845.37	           	           	           	           	           	           	           	           	           	       0.03	       0.72	      -1.39	 2978720.00	 3245702.25	           	
 2005/01/04	  836.99	  836.99	  824.01	  827.07	        4031697	     841.15	     846.69	           	           	           	           	           	           	           	           	      -1.55	       0.27	      -3.63	 4031697.00	 3418114.50	 3301990.50	
 2005/01/05	  825.71	  836.43	  822.97	  831.43	        3020863	     837.71	     845.29	           	           	           	           	           	           	           	           	      -2.41	      -0.27	      -4.29	 3020863.00	 3443584.75	 3339645.75	
 2005/01/06	  831.99	  833.07	  820.34	  822.50	        2753574	     833.45	     841.03	           	           	           	           	           	           	           	           	      -3.77	      -0.97	      -5.61	 2753574.00	 3273433.75	 3085174.75	
 2005/01/07	  822.67	  832.95	  819.44	  823.62	        3066086	     829.47	     838.33	           	           	           	           	           	           	           	           	      -4.71	      -1.72	      -5.99	 3066086.00	 3170188.00	 3155845.75	
